Index,Lang,Field,Original,Patched,ChangeType
1,EN,answer_en,"The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- … Would you like to see more?","The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- … …",FORMAT_NORMALIZED
1,EN,answer_full_en,"The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- …",FORMAT_NORMALIZED
1,DA,answer_da,"Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo … Vil du se flere?","Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo … Vil …",FORMAT_NORMALIZED
1,DA,answer_full_da,"Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo …",FORMAT_NORMALIZED
1,DE,answer_de,"Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … Möchten Sie mehr sehen?","Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … …",FORMAT_NORMALIZED
1,DE,answer_full_de,"Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, …",FORMAT_NORMALIZED
2,SE,answer_full_se,"Följande färger finns i Alpine:
- Bocote (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Cobolo (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mix Dark Chevry (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mogano (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sarawa (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sarawa Chevry (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Slavonia (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Slavonia Chevry (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm","Följande färger finns i Alpine:
- Bocote (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Cobolo (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mix Dark …",FORMAT_NORMALIZED
2,EN,answer_en,"The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm … Would you like to see more?","The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm … …",FORMAT_NORMALIZED
2,EN,answer_full_en,"The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mix Dark Chevry (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mogano (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa Chevry (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia Chevry (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm","The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, …",FORMAT_NORMALIZED
2,DA,answer_da,"Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm … Vil du se flere?","Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm … Vil …",FORMAT_NORMALIZED
2,DA,answer_full_da,"Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mix Dark Chevry (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mogano (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa Chevry (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia Chevry (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm","Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, …",FORMAT_NORMALIZED
2,DE,answer_de,"Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm … Möchten Sie mehr sehen?","Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm …",FORMAT_NORMALIZED
2,DE,answer_full_de,"Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mix Dark Chevry (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mogano (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa Chevry (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia Chevry (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm","Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, …",FORMAT_NORMALIZED
3,SE,answer_full_se,,MISSING_TRANSLATION,MISSING
3,EN,question_en,"The Anniversario series is available in the following colors:

- White
- Beige
- Grey
- Anthracite
- Black

These colors provide a versatile palette suitable for various design styles and applications in both indoor and outdoor settings.","The Anniversario series is available in the following colors:

- White
- Beige
- Grey
- Anthracite
- Black

These colors provide a versatile palette suitable for various design styles and …",TRUNCATED
3,DA,question_da,"Serien Anniversario tilbyder et udvalg af farver, herunder:

- Hvid
- Grå
- Beige
- Antracit
- Sand
- Mørkeblå

Disse farver kan variere i nuancer og finish, hvilket giver mulighed for forskellige designmuligheder i både indendørs og udendørs applikationer.","Serien Anniversario tilbyder et udvalg af farver, herunder:

- Hvid
- Grå
- Beige
- Antracit
- Sand
- Mørkeblå

Disse farver kan variere i nuancer og finish, hvilket giver mulighed for forskellige …",TRUNCATED
4,SE,answer_full_se,"Följande färger finns i Antique:
- Dune Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nuit Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Opal Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Taupe Carved (Beige) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm","Följande färger finns i Antique:
- Dune Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nuit Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Opal Carved (Övrigt) – …",FORMAT_NORMALIZED
4,EN,answer_en,"The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … Would you like to see more?","The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … …",FORMAT_NORMALIZED
4,EN,answer_full_en,"The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Taupe Carved (Beige) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, …",FORMAT_NORMALIZED
4,DA,question_da,"Serien Antique tilbyder følgende farver:

- Antique White
- Antique Beige
- Antique Grey
- Antique Brown
- Antique Black

Disse farver giver et klassisk og tidløst udseende, der passer til forskellige designstile.","Serien Antique tilbyder følgende farver:

- Antique White
- Antique Beige
- Antique Grey
- Antique Brown
- Antique Black

Disse farver giver et klassisk og tidløst udseende, der passer til …",TRUNCATED
4,DA,answer_da,"Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal … Vil du se flere?","Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal …",FORMAT_NORMALIZED
4,DA,answer_full_da,"Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Taupe Carved (Beige) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal …",FORMAT_NORMALIZED
4,DE,question_de,"Die Farbpalette der Serie Antique umfasst folgende Farben:

- Antik Weiß
- Antik Beige
- Antik Grau
- Antik Braun
- Antik Schwarz

Diese Farben sind ideal für die Gestaltung von Innen- und Außenbereichen und bieten eine zeitlose Ästhetik.","Die Farbpalette der Serie Antique umfasst folgende Farben:

- Antik Weiß
- Antik Beige
- Antik Grau
- Antik Braun
- Antik Schwarz

Diese Farben sind ideal für die Gestaltung von Innen- und …",TRUNCATED
4,DE,answer_de,"Die folgenden Farben sind in Antique erhältlich:
- Dune Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm … Möchten Sie mehr sehen?","Die folgenden Farben sind in Antique erhältlich:
- Dune Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm … …",FORMAT_NORMALIZED
4,DE,answer_full_de,"Die folgenden Farben sind in Antique erhältlich:
- Dune Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Taupe Carved (Beige) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","Die folgenden Farben sind in Antique erhältlich:
- Dune Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, …",FORMAT_NORMALIZED
5,SE,answer_full_se,"Följande färger finns i Ardesia:
- Bianco (Vit) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Cenere (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Grigio (Grå) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Taupe (Beige) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm","Följande färger finns i Ardesia:
- Bianco (Vit) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Cenere (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Grigio (Grå) – format: …",FORMAT_NORMALIZED
5,EN,question_en,"The Ardesia series is available in the following colors:

- Anthracite
- Grey
- Beige
- White
- Sand

These colors offer a versatile palette suitable for various design aesthetics in both indoor and outdoor applications.","The Ardesia series is available in the following colors:

- Anthracite
- Grey
- Beige
- White
- Sand

These colors offer a versatile palette suitable for various design aesthetics in both indoor and …",TRUNCATED
5,EN,answer_en,"The following colors are available in Ardesia:
- Bianco (White) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- … Would you like to see more?","The following colors are available in Ardesia:
- Bianco (White) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- … …",FORMAT_NORMALIZED
5,EN,answer_full_en,"The following colors are available in Ardesia:
- Bianco (White) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Grigio (Gray) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Taupe (Beige) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","The following colors are available in Ardesia:
- Bianco (White) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- …",FORMAT_NORMALIZED
5,DA,answer_da,"Følgende farver findes i Ardesia:
- Bianco (Hvid) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Grå) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Grigio (Grå) – … Vil du se flere?","Følgende farver findes i Ardesia:
- Bianco (Hvid) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Grå) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Grigio (Grå) – … …",FORMAT_NORMALIZED
5,DA,answer_full_da,"Følgende farver findes i Ardesia:
- Bianco (Hvid) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Grå) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Grigio (Grå) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Taupe (Beige) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","Følgende farver findes i Ardesia:
- Bianco (Hvid) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Grå) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Grigio (Grå) – …",FORMAT_NORMALIZED
5,DE,question_de,"Die Farbpalette der Serie Ardesia umfasst folgende Farben:

- Antrazit
- Graphit
- Beige
- Sand
- Weiß

Diese Farben bieten eine vielseitige Auswahl für verschiedene Anwendungen im Innen- und Außenbereich.","Die Farbpalette der Serie Ardesia umfasst folgende Farben:

- Antrazit
- Graphit
- Beige
- Sand
- Weiß

Diese Farben bieten eine vielseitige Auswahl für verschiedene Anwendungen im Innen- und …",TRUNCATED
5,DE,answer_de,"Die folgenden Farben sind in Ardesia erhältlich:
- Bianco (Weiß) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Sonstige) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … Möchten Sie mehr sehen?","Die folgenden Farben sind in Ardesia erhältlich:
- Bianco (Weiß) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Sonstige) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … Möchten …",FORMAT_NORMALIZED
5,DE,answer_full_de,"Die folgenden Farben sind in Ardesia erhältlich:
- Bianco (Weiß) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Sonstige) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Grigio (Grau) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Taupe (Beige) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","Die folgenden Farben sind in Ardesia erhältlich:
- Bianco (Weiß) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cenere (Sonstige) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, …",FORMAT_NORMALIZED
6,SE,answer_se,"Följande färger finns i Argresia:
- Svart (Övrigt) – format: 430x120","Följande färger finns i Argresia:
- Svart (Övrigt) – format: 430x120cm",FORMAT_NORMALIZED
6,SE,answer_full_se,,MISSING_TRANSLATION,MISSING
6,EN,question_en,"The Argresia series is available in the following colors:

- White
- Grey
- Beige
- Anthracite
- Sand

These colors provide a versatile palette suitable for various design aesthetics in both residential and commercial applications.","The Argresia series is available in the following colors:

- White
- Grey
- Beige
- Anthracite
- Sand

These colors provide a versatile palette suitable for various design aesthetics in both …",TRUNCATED
6,EN,answer_en,"The following colors are available in Argresia:
- Black (Other) – format: 430x120","The following colors are available in Argresia:
- Black (Other) – format: 430x120cm",FORMAT_NORMALIZED
6,EN,answer_full_en,"The following colors are available in Argresia:
- Black (Other) – format: 430x120","The following colors are available in Argresia:
- Black (Other) – format: 430x120cm",FORMAT_NORMALIZED
6,DA,question_da,"Serien Argresia tilbyder et udvalg af farver, herunder:

- Hvid
- Grå
- Beige
- Antracit
- Sand

Disse farver er designet til at imødekomme forskellige æstetiske behov og kan anvendes i både indendørs og udendørs applikationer.","Serien Argresia tilbyder et udvalg af farver, herunder:

- Hvid
- Grå
- Beige
- Antracit
- Sand

Disse farver er designet til at imødekomme forskellige æstetiske behov og kan anvendes i både …",TRUNCATED
6,DA,answer_da,"Følgende farver findes i Argresia:
- Sort (Diverse) – format: 430x120","Følgende farver findes i Argresia:
- Sort (Diverse) – format: 430x120cm",FORMAT_NORMALIZED
