Index,Lang,Field,ChangeType,Original,Patched
1,DA,answer_full_da,TRUNCATED,"Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo … Vill du se fler?"
1,DA,answer_full_da,FORMAT_NORMALIZED,"Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo … Vill du se fler?","Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Mandorlo (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Nocciolo … Vill du se fler?"
1,DE,answer_de,TRUNCATED,"Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … Möchten Sie mehr sehen?","Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … … Vill du se fler?"
1,DE,answer_de,FORMAT_NORMALIZED,"Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … … Vill du se fler?","Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Mandorlo (Sonstiges) – Format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm … … Vill du se fler?"
1,DE,answer_full_de,TRUNCATED,"Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, … Vill du se fler?"
1,DE,answer_full_de,FORMAT_NORMALIZED,"Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, … Vill du se fler?","Die folgenden Farben sind in Albero erhältlich:
- Gelso (Sonstiges) – Format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Mandorlo (Sonstiges) – Format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, … Vill du se fler?"
2,SE,answer_full_se,TRUNCATED,"Följande färger finns i Alpine:
- Bocote (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Cobolo (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mix Dark Chevry (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mogano (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sarawa (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Sarawa Chevry (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Slavonia (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Slavonia Chevry (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm","Följande färger finns i Alpine:
- Bocote (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Cobolo (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mix Dark … Vill du se fler?"
2,SE,answer_full_se,FORMAT_NORMALIZED,"Följande färger finns i Alpine:
- Bocote (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Cobolo (Övrigt) – format: 120x240cm20x120cm30x120cm40x120cm60x120cm60x60cm80x180cm80x80cm- Mix Dark … Vill du se fler?","Följande färger finns i Alpine:
- Bocote (Övrigt) – format: 20x120 cm40x120 cm60x60 cm80x180 cm80x80 cm- Cobolo (Övrigt) – format: 120x240 cm20x120 cm30x120 cm40x120 cm60x120 cm60x60 cm80x180 cm80x80 cm- Mix Dark … Vill du se fler?"
2,EN,answer_en,TRUNCATED,"The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm … Would you like to see more?","The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm … … Vill du se fler?"
2,EN,answer_en,FORMAT_NORMALIZED,"The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm … … Vill du se fler?","The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Cobolo (Other) – sizes: 120x240 cm, 20x120 cm, 30x120 cm, 40x120 cm, 60x120 cm … … Vill du se fler?"
2,EN,answer_full_en,TRUNCATED,"The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mix Dark Chevry (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mogano (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa Chevry (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia Chevry (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm","The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, … Vill du se fler?"
2,EN,answer_full_en,FORMAT_NORMALIZED,"The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Other) – sizes: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, … Vill du se fler?","The following colors are available in Alpine:
- Bocote (Other) – sizes: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Cobolo (Other) – sizes: 120x240 cm, 20x120 cm, 30x120 cm, 40x120 cm, 60x120 cm, … Vill du se fler?"
2,DA,answer_da,TRUNCATED,"Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm … Vil du se flere?","Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm … Vil … Vill du se fler?"
2,DA,answer_da,FORMAT_NORMALIZED,"Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm … Vil … Vill du se fler?","Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Cobolo (Andet) – format: 120x240 cm, 20x120 cm, 30x120 cm, 40x120 cm, 60x120 cm, 60x60 cm … Vil … Vill du se fler?"
2,DA,answer_full_da,TRUNCATED,"Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mix Dark Chevry (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mogano (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa Chevry (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia Chevry (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm","Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, … Vill du se fler?"
2,DA,answer_full_da,FORMAT_NORMALIZED,"Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Andet) – format: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, … Vill du se fler?","Følgende farver findes i Alpine:
- Bocote (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Cobolo (Andet) – format: 120x240 cm, 20x120 cm, 30x120 cm, 40x120 cm, 60x120 cm, 60x60 cm, … Vill du se fler?"
2,DE,answer_de,TRUNCATED,"Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm … Möchten Sie mehr sehen?","Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm … Vill du se fler?"
2,DE,answer_de,FORMAT_NORMALIZED,"Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm … Vill du se fler?","Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Cobolo (Sonstiges) – Formate: 120x240 cm, 20x120 cm, 30x120 cm, 40x120 cm … Vill du se fler?"
2,DE,answer_full_de,TRUNCATED,"Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mix Dark Chevry (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Mogano (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Sarawa Chevry (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm
- Slavonia Chevry (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, 60x120cm, 60x60cm, 80x180cm, 80x80cm","Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, … Vill du se fler?"
2,DE,answer_full_de,FORMAT_NORMALIZED,"Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Cobolo (Sonstiges) – Formate: 120x240cm, 20x120cm, 30x120cm, 40x120cm, … Vill du se fler?","Die folgenden Farben sind in Alpine erhältlich:
- Bocote (Sonstiges) – Formate: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Cobolo (Sonstiges) – Formate: 120x240 cm, 20x120 cm, 30x120 cm, 40x120 cm, … Vill du se fler?"
4,SE,answer_full_se,TRUNCATED,"Följande färger finns i Antique:
- Dune Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nuit Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Opal Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Taupe Carved (Beige) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm","Följande färger finns i Antique:
- Dune Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nuit Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Opal Carved (Övrigt) – … Vill du se fler?"
4,SE,answer_full_se,FORMAT_NORMALIZED,"Följande färger finns i Antique:
- Dune Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nuit Carved (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Opal Carved (Övrigt) – … Vill du se fler?","Följande färger finns i Antique:
- Dune Carved (Övrigt) – format: 20x120 cm40x120 cm60x60 cm80x180 cm80x80 cm- Nuit Carved (Övrigt) – format: 20x120 cm40x120 cm60x60 cm80x180 cm80x80 cm- Opal Carved (Övrigt) – … Vill du se fler?"
4,EN,answer_en,TRUNCATED,"The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … Would you like to see more?","The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … … Vill du se fler?"
4,EN,answer_en,FORMAT_NORMALIZED,"The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm … … Vill du se fler?","The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Nuit Carved (Other) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm … … Vill du se fler?"
4,EN,answer_full_en,TRUNCATED,"The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Taupe Carved (Beige) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, … Vill du se fler?"
4,EN,answer_full_en,FORMAT_NORMALIZED,"The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, … Vill du se fler?","The following colors are available in Antique:
- Dune Carved (Other) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Nuit Carved (Other) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, … Vill du se fler?"
4,DA,answer_da,TRUNCATED,"Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal … Vil du se flere?","Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal … Vill du se fler?"
4,DA,answer_da,FORMAT_NORMALIZED,"Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal … Vill du se fler?","Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Nuit Carved (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Opal … Vill du se fler?"
4,DA,answer_full_da,TRUNCATED,"Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Taupe Carved (Beige) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal … Vill du se fler?"
4,DA,answer_full_da,FORMAT_NORMALIZED,"Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Opal … Vill du se fler?","Følgende farver findes i Antique:
- Dune Carved (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Nuit Carved (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Opal … Vill du se fler?"
4,DE,answer_de,TRUNCATED,"Die folgenden Farben sind in Antique erhältlich:
- Dune Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm … Möchten Sie mehr sehen?","Die folgenden Farben sind in Antique erhältlich:
- Dune Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm … … Vill du se fler?"
4,DE,answer_de,FORMAT_NORMALIZED,"Die folgenden Farben sind in Antique erhältlich:
- Dune Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nuit Carved (Sonstiges) – Format: 20x120cm, 40x120cm, 60x60cm … … Vill du se fler?","Die folgenden Farben sind in Antique erhältlich:
- Dune Carved (Sonstiges) – Format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Nuit Carved (Sonstiges) – Format: 20x120 cm, 40x120 cm, 60x60 cm … … Vill du se fler?"
