question_de,answer_de,Källa FAQ / AI
Welche Farben sind in der Materia-Serie erhältlich?,"Die folgenden Farben sind in Materia verfügbar:
  - Upcendre
  - Upcharbon
  - Upcrete
  - Upivoire",AI/Cache
Welche Farben sind in der Meteo-Serie erhältlich?,"Die folgenden Farben sind in Meteo verfügbar:
  - Dark
  - Fog
  - Salt
  - Sand",AI/Cache
Welche Farben sind in der Mista-Serie erhältlich?,"Die folgenden Farben sind in Mista erhältlich:
  - Agate
  - Pearl
  - Shell
  - Tahiti",AI/Cache
Welche Farben sind in der Nature-Serie erhältlich?,"Die folgenden Farben sind in der Nature-Serie verfügbar: Nut, Nut Doga, Oak",AI/Cache
Welche Farben sind in der Nordique-Serie erhältlich?,"Die folgenden Farben sind in der Nordique-Serie verfügbar: Evo Greyge, Evo Gris Fonce, Evo Noir",AI/Cache
Welche Farben sind in der Quartz-Serie erhältlich?,"Die folgenden Farben sind in Quartz verfügbar:
  - Antracite
  - Diaspro
  - Madera
  - Prasio",AI/Cache
Welche Farben sind in der Roccia-Serie erhältlich?,"Die folgenden Farben sind in Roccia erhältlich:
  - Antracite
  - Cream
  - Light Grey
  - Mud",AI/Cache
Welche Farben sind in der Slate-Serie verfügbar?,"Die folgenden Farben sind in Slate verfügbar:
  - Bly
  - Grafite
  - Grå",AI/Cache
Welche Farben sind in der Stella-Serie erhältlich?,"Die folgenden Farben sind in Stella verfügbar:
  - Bone
  - Cement
  - Plomb",AI/Cache
Welche Farben sind in der Stone-Serie erhältlich?,"Die folgenden Farben sind in Stone erhältlich:
  - Landstone
  - Nightstone
  - Silverstone
  - Sunstone",AI/Cache
Welche Farben sind in der Strada-Serie verfügbar?,"Die folgenden Farben sind in Strada erhältlich:
  - Saint Luois
  - Santa Fe'
  - Santa Monica",AI/Cache
Welche Farben sind in der Travertin-Serie erhältlich?,"Die folgenden Farben sind in Travertin erhältlich:
  - Beige",AI/Cache
Welche Farben sind in der Trentino-Serie erhältlich?,"Die folgenden Farben sind in der Trentino-Serie verfügbar: Avana, Canapa, Lino",AI/Cache
Welche Farben sind in der Vintage-Serie erhältlich?,"Die folgenden Farben sind in Vintage erhältlich:
  - Bruges
  - Gent
  - Namur",AI/Cache
Welche Farben sind in der Konjak-Serie erhältlich?,"Die folgenden Farben sind in Konjak erhältlich:
  - Konjak",AI/Cache
In welchen Größen ist klinkerdäck® erhältlich?,Die Fliesen sind in mehreren verschiedenen Standardgrößen erhältlich. Siehe unseren Produktkatalog für aktuelle Größen.,AI/Cache
Welche Farben sind verfügbar?,"Wir bieten mehrere Farben an, wie zum Beispiel grau, schwarz und beige.",AI/Cache
Wie schwer ist ein Teller?,"Eine Platte wiegt durchschnittlich 16–64 kg, je nach Größe.",AI/Cache
Aus welchem Material besteht klinkerdäck®?,Die Fliesen bestehen aus keramischem Material mit hoher Festigkeit.,AI/Cache
Haben die Fliesen eine CE-Kennzeichnung?,"Ja, klinkerdäck® ist CE-gekennzeichnet und entspricht den aktuellen Baustandards.",AI/Cache
"Gibt es verschiedene Oberflächentexturen (glatt, strukturiert)?","Ja, sowohl glatte als auch strukturierte Oberflächen sind verfügbar.",AI/Cache
Gibt es technische Datenblätter zum Herunterladen?,"Ja, technische Datenblätter sind als PDFs auf unserer Website verfügbar.",AI/Cache
Sind die Fliesen chemikalienbeständig?,"Ja, klinkerdäck® hält gängigen Haushaltschemikalien problemlos stand.",AI/Cache
Welche Toleranzen gelten für Maße und Form?,Die Toleranzen entsprechen der europäischen Norm für keramische Außenkacheln.,AI/Cache
Können Sie die Fliesen direkt auf Kies verlegen?,"Ja, klinkerdäck® kann auf einem stabilen Kiesbett installiert werden.",AI/Cache
Müssen die Fliesen während der Installation geklebt werden?,"Nein, normalerweise müssen die Fliesen nicht geklebt werden, sondern können lose auf der entsprechenden Oberfläche verlegt werden.",AI/Cache
Können die Fliesen auf einem Holzdeck verlegt werden?,"Ja, vorausgesetzt, dass die Oberfläche eben und stabil ist.",AI/Cache
Können Sie die Fliesen selbst schneiden?,"Ja, die Fliesen können mit einem Winkelschleifer und einer Diamantklinge geschnitten werden.",AI/Cache
Welche Werkzeuge werden zum Schneiden empfohlen?,Winkelschleifer mit Diamantklinge liefert die besten Ergebnisse.,AI/Cache
Können die Fliesen auf einem Balkon verlegt werden?,"Ja, klinkerdäck® ist für Balkone geeignet, wenn die Konstruktion ausreichend tragfähig ist.",AI/Cache
Benötigen Sie Abstandshalter beim Verlegen der Fliesen?,"Ja, um gleichmäßige Fugen zu gewährleisten, werden Abstandskreuze empfohlen.",AI/Cache
Können die Fliesen im Innenbereich installiert werden?,"Ja, klinkerdäck® kann auch im Innenbereich auf geeigneten Oberflächen verwendet werden.",AI/Cache
Funktionieren die Fliesen auf geneigten Flächen?,"Ja, aber die Oberfläche muss stabil und entwässert sein.",AI/Cache
Wie reinigt man Fliesen am besten?,Verwenden Sie Wasser und eine weiche Bürste. Bei hartnäckigerem Schmutz können milde Reinigungsmittel verwendet werden.,AI/Cache
Kann man einen Hochdruckreiniger auf den Fliesen verwenden?,"Ja, aber wir empfehlen einen niedrigen Druck und eine breite Düse.",AI/Cache
Müssen die Fliesen mit Imprägnierung behandelt werden?,"Nein, klinkerdäck® erfordert keine Imprägnierung.",AI/Cache
Wie entfernt man Moos und Algen von den Fliesen?,Verwenden Sie eine Bürste und milde Reinigungsmittel oder einen für Steinoberflächen geeigneten Algenentferner.,AI/Cache
Wie werden die Fliesen im Winter durch Salz beeinflusst?,"Die Fliesen sind im Allgemeinen beständig gegen Straßensalz, aber übermäßiger Gebrauch sollte vermieden werden.",AI/Cache
"Können die Fliesen durch Wein, Öl oder andere Flecken verfärbt werden?","Flecken können auftreten, lassen sich jedoch oft mit milder Reinigung entfernen.",AI/Cache
Ist eine spezielle Winterlagerung erforderlich?,"Nein, klinkerdäck® kann das ganze Jahr über draußen bleiben.",AI/Cache
Wie lange ist die Lebensdauer der Teller?,"Bei ordnungsgemäßer Installation und Wartung hat klinkerdäck® eine sehr lange Lebensdauer, oft mehrere Jahrzehnte.",AI/Cache
Können die Fliesen geschliffen oder renoviert werden?,"Nein, die Fliesen sind vorbehandelt und müssen nicht geschliffen werden.",AI/Cache
Sind die Fliesen rutschfest?,"Ja, klinkerdäck® hat rutschfeste Oberflächen, die für den Außenbereich konzipiert sind.",AI/Cache
Ist klinkerdäck® feuerfest?,"Ja, die Fliesen sind feuerfest und geben im Brandfall keine giftigen Gase ab.",AI/Cache
Können die Fliesen in Poolbereichen verwendet werden?,"Ja, klinkerdäck® ist rutschfest und für Poolumgebungen geeignet.",AI/Cache
Sind die Fliesen sicher für Kinder zum Spielen?,"Ja, die Oberfläche ist rutschfest und langlebig für das Spielen von Kindern.",AI/Cache
Können ältere Menschen sicher auf den Fliesen gehen?,"Ja, die Anti-Rutsch-Funktion sorgt dafür, dass auch Senioren sicher auf der Oberfläche gehen können.",AI/Cache
Wie wird die Rutschfestigkeit getestet?,Die Fliesen werden gemäß den europäischen Normen für Reibung und Rutschfestigkeit getestet.,AI/Cache
"Können die Fliesen rutschig werden, wenn sich Eis bildet?","Ja, genau wie alle Außenflächen können sie bei Eis glatt werden, also verwenden Sie ruhig Sand.",AI/Cache
Gibt es eine Garantie auf den Rutschschutz?,"Ja, der Rutschschutz gilt während der gesamten Lebensdauer des Produkts bei normalem Gebrauch.",AI/Cache
Kann Anti-Rutsch-Band mit den Fliesen verwendet werden?,"Nein, es ist nicht notwendig, da die Oberfläche bereits rutschfest ist.",AI/Cache
Was ist die Lebensdauer von klinkerdäck®?,"Die Fliesen haben eine sehr lange Lebensdauer, oft über 30 Jahre.",AI/Cache
Sind die Fliesen UV-beständig?,"Ja, sie verblassen nicht durch Sonnenlicht.",AI/Cache
Sind die Fliesen frost- und kältebeständig?,"Ja, klinkerdäck® ist frostbeständig und erfordert keine Winterlagerung.",AI/Cache
Sind die Fliesen verschleißfest?,"Ja, sie sind sehr langlebig und für stark frequentierte Bereiche geeignet.",AI/Cache
Können die Fliesen in öffentlichen Umgebungen verwendet werden?,"Ja, klinkerdäck® ist sowohl für private als auch für öffentliche Umgebungen geeignet.",AI/Cache
Sind die Fliesen chemikalienbeständig?,"Ja, klinkerdäck® ist beständig gegen die meisten gängigen Chemikalien.",AI/Cache
Sind die Fliesen kratzfest?,"Ja, die Oberfläche ist bei normalem Gebrauch sehr kratzfest.",AI/Cache
Wie werden die Fliesen durch schwere Lasten beeinflusst?,Die Fliesen können hohen Belastungen standhalten und sind für Außenbereiche mit Möbeln geeignet.,AI/Cache
Wie lange ist die Garantiezeit für die Haltbarkeit?,Wir bieten eine langfristige Garantie gegen Rissbildung bei normalem Gebrauch.,AI/Cache
Ist klinkerdäck® umweltfreundlich?,"Ja, die Produkte werden unter Berücksichtigung der Umwelt hergestellt und sind recycelbar.",AI/Cache
Sind die Fliesen recycelbar?,"Ja, klinkerdäck® kann als Baumaterial recycelt werden.",AI/Cache
Werden die Produkte in Schweden hergestellt?,"Ja, Teile der Produktion finden in Schweden mit hohen Umweltstandards statt.",AI/Cache
Können die Fliesen im Innenbereich verwendet werden?,"Ja, klinkerdäck® kann auch in Innenräumen wie Fluren und Küchen verwendet werden.",AI/Cache
Ist klinkerdäck® für Poolbereiche geeignet?,"Ja, die Fliesen sind rutschfest und langlebig in Wasserumgebungen.",AI/Cache
Können die Fliesen auf einem Balkon verwendet werden?,"Ja, klinkerdäck® ist gut für Balkone geeignet.",AI/Cache
Können die Fliesen in Geschäftsräumen verwendet werden?,"Ja, klinkerdäck® funktioniert auch in Restaurants und Geschäften.",AI/Cache
Wie wirkt sich die Produktion auf die Umwelt aus?,Die Herstellung erfolgt mit umweltfreundlichen Verfahren und minimiertem CO2-Ausstoß.,AI/Cache
Sind die Produkte für umweltfreundliches Bauen zertifiziert?,"Ja, klinkerdäck® kann in umweltzertifizierten Bauprojekten verwendet werden.",AI/Cache
Liefern Sie in ganz Schweden?,"Ja, wir liefern in ganz Schweden.",AI/Cache
Liefern Sie nach Dänemark und Deutschland?,"Ja, Dänemark und Deutschland sind in unseren Standardlieferungen enthalten.",AI/Cache
Liefern Sie nach Finnland?,"Ja, möglicherweise – auf Anfrage. Kontaktieren Sie uns für ein Angebot.",AI/Cache
Liefern Sie in das Vereinigte Königreich?,Potentiell – auf Anfrage und nach separatem Angebot.,AI/Cache
Liefern Sie auch außerhalb der EU?,Nur auf Anfrage und nach individueller Bewertung.,AI/Cache
Was ist die normale Lieferzeit?,"Normalerweise 5–10 Werktage, abhängig vom Lagerbestand.",AI/Cache
Wie hoch sind die Versandkosten?,"Die Versandkosten hängen vom Gewicht und Zielort ab, bitte kontaktieren Sie uns für ein Angebot.",AI/Cache
Können Sie eine Lieferzeit vereinbaren?,"Ja, die Planung einer Lieferung ist gegen eine zusätzliche Gebühr möglich.",AI/Cache
Können Sie die Fliesen selbst im Lager abholen?,"Ja, die Selbstabholung im Lager ist nach Vereinbarung möglich.",AI/Cache
Was kostet klinkerdäck® pro Quadratmeter?,"Der Preis variiert je nach Modell, bitte kontaktieren Sie uns für die aktuelle Preisliste.",AI/Cache
Kann ich ein Angebot für größere Projekte erhalten?,"Ja, wir erstellen ein Angebot basierend auf Volumen und Lieferadresse.",AI/Cache
Bieten Sie Ratenzahlungen an?,"Ja, Ratenzahlungen können über unsere Zahlungspartner angeboten werden.",AI/Cache
Wie dick sind die Fliesen?,Die Standardstärke ist für den Außeneinsatz angepasst. Siehe das technische Datenblatt für genaue Maße.,AI/Cache
Sind die Fliesen mit einer abgeschrägten Kante erhältlich?,"Ja, einige Modelle haben leicht abgeschrägte Kanten für ein weicheres Gefühl.",AI/Cache
Was ist die Kalibrierungstoleranz?,Die Platten sind gemäß dem aktuellen Standard kalibriert. Siehe das Datenblatt für Toleranzen.,AI/Cache
Welche Fugenbreite empfehlen Sie?,"Typischerweise 3–5 mm, abhängig von der Oberfläche und Nutzung.",AI/Cache
Sind die Fliesen in matter oder halbmatten Ausführung erhältlich?,"Ja, mehrere Oberflächen sind verfügbar – von matt bis leicht strukturiert.",AI/Cache
Wie werden die Fliesen auf einer Palette verpackt?,Fliesen werden gestapelt und geschützt auf einer Palette geliefert. Die Anzahl pro Palette ist im Produktblatt angegeben.,AI/Cache
Welche Farben sind im Laufe der Zeit am farbstabilsten?,Dunkelgrau und von der Natur inspirierte Farben werden oft als stabil wahrgenommen. Betrachten Sie Farbmuster bei Tageslicht für die beste Beurteilung.,AI/Cache
Sind Produktzertifikate und Prüfberichte verfügbar?,"Ja, Dokumente können auf Anfrage für Projekte bereitgestellt werden.",AI/Cache
Welches Gefälle sollte die Basis für die Entwässerung haben?,"Der empfohlene Neigungswinkel beträgt etwa 1–2 % von der Fassade weg, um Wasser abzuleiten.",AI/Cache
Kann ich die Fliesen auf einer vorhandenen Betonplatte verlegen?,"Ja, vorausgesetzt, dass der Beton eben, tragfähig und rissfrei ist.",AI/Cache
Benötige ich eine Frostschutzschicht unter den Fliesen?,An exponierten Stellen werden Frostschutz und ein Drainagebett empfohlen.,AI/Cache
Welcher Fugenmörtel wird zwischen den Fliesen empfohlen?,Ein entwässernder Fugensand oder ein polymerverstärkter Fugenmörtel funktioniert gut im Freien.,AI/Cache
Wie verwalte ich Dehnungsfugen?,Bewegungszonen gegen die Fassade und größere Bereiche gemäß den Branchenpraktiken belassen.,AI/Cache
Können die Fliesen auf verstellbaren Füßen verlegt werden?,"Ja, verstellbare Füße können auf Dachterrassen und Balkonen verwendet werden.",AI/Cache
Welches Muster lässt sich am einfachsten verlegen?,Das gerade Muster ist das schnellste; Fischgrät- und modulare Muster erfordern mehr Zuschnitt.,AI/Cache
Wie bearbeite ich Kanten und Ränder?,"Verwenden Sie Randunterstützung oder Randabschluss, um die Fliesen gegen Bewegung zu sichern.",AI/Cache
Wie oft sollte man eine Terrasse mit klinkerdäck® reinigen?,Regelmäßiges Kehren und Wischen nach Bedarf. Gründliche Reinigung 1–2 Mal pro Saison.,AI/Cache
Wie entferne ich Ölflecken?,"Tupfen Sie mit saugfähigem Papier ab, dann verwenden Sie ein mildes Entfettungsmittel, das für Stein/Fliesen geeignet ist.",AI/Cache
Kann ich Essig oder Säuren zum Reinigen verwenden?,"Vermeiden Sie starke Säuren. Verwenden Sie pH-neutrale oder leicht alkalische Mittel, die für Fliesen zugelassen sind.",AI/Cache
Wie kann ich Grünbeläge verhindern?,Halten Sie die Oberfläche sauber und trocken und verwenden Sie bei Bedarf Algenentferner gemäß den Anweisungen.,AI/Cache
Kann ich mit einer Metallschaufel Schnee schaufeln?,"Verwenden Sie vorzugsweise eine Plastikschaufel, um die Oberfläche und die Fugen zu schützen.",AI/Cache
"Wie reinige ich die Fugen, ohne sie zu beschädigen?",Bürsten Sie sanft und vermeiden Sie hohen Druck direkt auf die Fugen.,AI/Cache
Muss ich die Fliesen nach dem Winter behandeln?,Ein Frühjahrsputz mit milder Reinigung ist in der Regel ausreichend.,AI/Cache
Wie entferne ich Rostflecken?,"Verwenden Sie einen Rostentferner, der für Keramikoberflächen sicher ist, und befolgen Sie die Anweisungen sorgfältig.",AI/Cache
Werden die Fliesen in direktem Sonnenlicht sehr heiß?,Die Oberfläche kann bei starker Sonneneinstrahlung heiß werden. Verwenden Sie bei Bedarf Möbelunterlagen und Teppiche.,AI/Cache
"Ist die Oberfläche rutschfest, wenn sie nass ist?","Die Fliesen haben eine rutschfeste Oberfläche, die sich auch bei Nässe für den Außenbereich eignet.",AI/Cache
Ist das Produkt sicher in der Nähe des Grills und Funken?,"Keramikfliesen sind nicht brennbar, aber vermeiden Sie langanhaltende Punktwärme.",AI/Cache
Können die Kanten als scharf wahrgenommen werden?,"Kanten sind bearbeitet, aber beim Schneiden und Handhaben ist Vorsicht geboten.",AI/Cache
Gibt es Empfehlungen zur Beleuchtung von Treppenstufen?,"Ja, markieren Sie Höhenunterschiede mit Beleuchtungs- oder Kontraststreifen für erhöhte Sicherheit.",AI/Cache
Sind die Fliesen für Rollatoren und Rollstühle geeignet?,"Ja, wenn sie korrekt auf einer ebenen Fläche verlegt wird, bietet die Fläche eine gute Zugänglichkeit.",AI/Cache
Wird die Rutschfestigkeit durch Pollen und Schmutz beeinträchtigt?,"Ja, Schmutz kann die Reibung verringern. Halten Sie die Oberfläche sauber für den besten Halt.",AI/Cache
Wird beim Schneiden eine Schutzausrüstung benötigt?,"Verwenden Sie beim Schneiden immer Gehör-, Augen- und Atemschutz sowie Handschuhe.",AI/Cache
Wie widerstandsfähig sind die Fliesen gegen Kratzer von Möbelbeinen?,"Verwenden Sie Möbelunterlagen, um das Risiko von Abdrücken zu verringern. Die Oberfläche selbst ist kratzfest.",AI/Cache
Sind die Fliesen widerstandsfähig gegen Fahrradständer und Kinderspielzeug?,"Ja, normaler Alltagsgebrauch ist mit der richtigen Grundlage kein Problem.",AI/Cache
Wie ändert sich die Farbe im Laufe der Zeit?,Das Farberlebnis kann je nach Licht und Verschmutzung variieren. Regelmäßige Reinigung erhält das Erscheinungsbild.,AI/Cache
Können die Teller schnellen Temperaturänderungen standhalten?,"Keramik hält im Allgemeinen Temperaturschwankungen gut stand, wenn sie ordnungsgemäß installiert ist.",AI/Cache
Können schwere Töpfe und Grills auf den Fliesen platziert werden?,"Ja, mit dem richtigen Fundament und verteilter Last.",AI/Cache
Wie wird die Oberfläche durch Streusalz beeinflusst?,Vermeiden Sie übermäßigen Gebrauch von Salz. Sand wird für Eis empfohlen.,AI/Cache
Wie lang ist die erwartete technische Lebensdauer?,Bei ordnungsgemäßer Installation und Wartung können die Fliesen viele Jahrzehnte halten.,AI/Cache
Können die Fliesen Risse bekommen?,Eine ordnungsgemäße Vorbereitung des Untergrunds verringert das Risiko von Bewegungen und Rissen.,AI/Cache
Ist klinkerdäck® recycelbar?,"Ja, das Material kann als Baumaterial recycelt werden. Es gelten lokale Vorschriften.",AI/Cache
Gibt es eine Umweltproduktdeklaration (EPD)?,Dokumentation kann auf Anfrage für Projekte bereitgestellt werden.,AI/Cache
Sind die Fliesen für Dachterrassen geeignet?,"Ja, insbesondere mit verstellbaren Füßen und Drainageschichten.",AI/Cache
Können die Fliesen in Innenbereichen von Eingängen verwendet werden?,"Ja, Keramik ist langlebig und leicht zu reinigen, auch in Eingangsbereichen.",AI/Cache
Ist das Produkt für marine Umgebungen geeignet?,"Ja, aber wählen Sie das richtige Gelenk und Substrat für die Umgebung.",AI/Cache
Können die Fliesen mit Holz und Naturstein kombiniert werden?,"Ja, Materialverbindungen funktionieren ästhetisch gut mit einer guten detaillierten Planung.",AI/Cache
Gibt es Empfehlungen zur Schalldämmung?,"Verwenden Sie Matten oder Gummipads, wenn eine Geräuschreduzierung erforderlich ist.",AI/Cache
Sind die Fliesen für Außenbereiche geeignet?,"Ja, Haltbarkeit und einfache Reinigung machen sie für gewerbliche Umgebungen geeignet.",AI/Cache
In welche Länder bieten Sie Standardlieferung an?,"Schweden, Dänemark und Deutschland sind Standardlieferungen.",AI/Cache
Können Sie in andere EU-Länder liefern?,Potentiell – auf Anfrage. Kontaktieren Sie uns für ein Angebot und eine Bestätigung.,AI/Cache
Welche Liefermethoden werden verwendet?,Zustellung nach Hause mit Benachrichtigung. Die Zustellung in Innenräumen ist normalerweise nicht inbegriffen.,AI/Cache
Kann ich eine Abendlieferung erhalten?,In bestimmten Regionen kann die geplante Lieferung gegen eine zusätzliche Gebühr angeboten werden.,AI/Cache
Was ist die normale Lieferzeit?,"In der Regel 5–10 Werktage, abhängig von Lagerbestand und Adresse.",AI/Cache
Wie werden die Waren geliefert – auf einer Palette?,"Ja, Waren werden normalerweise auf Paletten geliefert, die mit einer Hebebühne oder einem Gabelstapler entladen werden.",AI/Cache
Wie wird der Preis pro m² berechnet?,"Der Preis wird durch Modell, Volumen und Lieferadresse beeinflusst. Fordern Sie ein Angebot für einen genauen Preis an.",AI/Cache
Bieten Sie Mengenrabatte an?,"Ja, größere Projekte können nach einem Angebot einen Mengenrabatt erhalten.",AI/Cache
Welche Zahlungsmethoden akzeptieren Sie?,"Karte, Swish und Rechnung können je nach Kundentyp angeboten werden.",AI/Cache
"Ist es möglich, in Raten zu zahlen?",Ratenzahlung kann nach einer Bonitätsprüfung über einen Zahlungspartner angeboten werden.,AI/Cache
Ist der Versand im Preis inbegriffen?,"Der Versand wird separat berechnet, sofern nicht anders angegeben.",AI/Cache
Haben Sie eine Preisgarantie?,"Nein, aber wir bieten wettbewerbsfähige Angebote basierend auf dem Umfang des Projekts an.",AI/Cache
Kosten Musterfliesen etwas?,Musterfliesen können zum Selbstkostenpreis oder in Verbindung mit einem Angebot angeboten werden.,AI/Cache
Wie lange ist ein Angebot gültig?,"Der Gültigkeitszeitraum des Angebots ist im Angebot angegeben, in der Regel 14–30 Tage.",AI/Cache
Kann ich den Kauf stornieren?,Das Widerrufsrecht gilt laut Gesetz für Fernkäufe. Bestimmte Ausnahmen können gelten.,AI/Cache
Wie kann ich übrig gebliebene Fliesen zurückgeben?,"Kontaktieren Sie den Kundenservice. Rücksendungen werden akzeptiert, wenn die Fliesen unbeschädigt in ihrer Originalverpackung sind.",AI/Cache
Wer ist für den Rückversand verantwortlich?,"Die Rücksendekosten werden normalerweise vom Kunden getragen, es sei denn, der Artikel ist defekt.",AI/Cache
Wie schnell muss ein Transportschaden gemeldet werden?,Melden Sie Schäden sofort nach Erhalt und dokumentieren Sie diese mit Fotos.,AI/Cache
Wie werden Produktionsfehler behandelt?,Wir untersuchen die Angelegenheit und bieten Entschädigung oder Ersatz gemäß der Garantie an.,AI/Cache
Können individuell bestellte Artikel zurückgegeben werden?,Sonderbestellungen sind in der Regel nicht vom Widerrufsrecht abgedeckt.,AI/Cache
Wie lange dauert eine Rückerstattung?,Rückerstattungen werden in der Regel innerhalb von 5–10 Werktagen nach Genehmigung der Rücksendung bearbeitet.,AI/Cache
Kann ich die Farbe nach der Lieferung ändern?,"Umtausch wird als Rückgabe und neue Bestellung behandelt, wenn der Artikel unbeschädigt ist.",AI/Cache
Wie kann ich Sie für eine Beratung kontaktieren?,"Senden Sie eine E-Mail oder rufen Sie den Kundenservice an, und wir helfen Ihnen bei der Auswahl von Fliesen und Untergründen.",AI/Cache
Können Sie den Materialverbrauch berechnen?,"Ja, wir können bei groben Berechnungen basierend auf Messungen und Bedingungen helfen.",AI/Cache
Bieten Sie Designunterstützung an?,Für größere Projekte können Dokumentationen wie Datenblätter und allgemeine Prinzipdetails bereitgestellt werden.,AI/Cache
Wie ist die typische Antwortzeit des Kundenservice?,"Wir bemühen uns, an Werktagen innerhalb von 24 Stunden zu antworten.",AI/Cache
Können Sie Installateure empfehlen?,Wir können auf Partner in bestimmten Regionen verweisen.,AI/Cache
"Welche Dokumente sind gut zu haben, wenn ich ein Angebot anfordere?","Eine bemaßte Skizze, die gewünschte Farbe und die ungefähre Lieferadresse sind hilfreich.",AI/Cache
Gibt es Unterstützung nach der Lieferung?,"Ja, wir helfen Ihnen gerne bei Fragen zur Wartung und zu Ergänzungsmitteln.",AI/Cache
Können wir ein Videomeeting planen?,"Ja, wenn nötig, können Konsultationen digital durchgeführt werden.",AI/Cache
Haben Sie Beispielbilder von Terrassen mit klinkerdäck®?,"Ja, inspirierende Bilder sind auf unserer Website verfügbar und können auf Anfrage zugesandt werden.",AI/Cache
Kann ich Hilfe bei der Auswahl eines Musters bekommen?,Wir können Empfehlungen zu Verlegemustern basierend auf Stil und Oberfläche geben.,AI/Cache
Passen die Fliesen zu Holzelementen und Stahl?,"Ja, das Material wird in modernem Design oft mit Holz, Stahl und Glas kombiniert.",AI/Cache
"Kann ich einige Fliesen ausprobieren, bevor ich sie kaufe?","Ja, bestellen Sie Musterfliesen und testen Sie zuerst auf einer kleineren Fläche.",AI/Cache
Kann ich Möbelunterlagen auf den Fliesen verwenden?,"Ja, wir empfehlen Möbelgleiter, um die Oberfläche zu schützen und den Lärm zu reduzieren.",AI/Cache
Wie oft sollten die Fugen nachgefüllt werden?,"Jährlich inspizieren und bei Bedarf nachfüllen, um die Stabilität zu gewährleisten.",AI/Cache
Welche Größen sind in 20 mm Dicke erhältlich?,100x100 cm 20 mm,AI/Cache
Wie viele Füße werden pro m² für Fliesen der Größe 100x100 cm 20 mm benötigt?,4 Stk./m²,AI/Cache
Wie viele Füße werden pro m² für Fliesen in der Größe 80x80 cm 20 mm benötigt?,"6,25 Stk/m²",AI/Cache
Wie viele Füße werden pro m² für Fliesen der Größe 60x60 cm 20 mm benötigt?,"2,78 Stk/m²",AI/Cache
Wie viele Füße werden pro m² für Fliesen in der Größe 60x120 cm 20 mm benötigt?,"2,78 Stk/m²",AI/Cache
Wie viele Fuß werden pro m² für Fliesen in der Größe 40x120 cm 20 mm benötigt?,"4,17 Stk/m²",AI/Cache
"Wie viele Fliesen werden pro m² für Fliesen in der Größe 80,0x80,0 cm 20 mm benötigt?","6,25 Stk/m²",AI/Cache
Wie viele Fliesen werden pro m² benötigt für Fliesen der Größe 60.4x60.4 cm 20 mm?,"10,96 Stk/m²",AI/Cache
Wie viele Füße werden pro m² für Fliesen der Größe 120.8x120.8 cm 20 mm benötigt?,"2,74 Stk/m²",AI/Cache
Wie viele Fliesen werden pro m² benötigt für Fliesen der Größe 60.4x120.8 cm 20 mm?,"5,48 Stk/m²",AI/Cache
Wie viele Füße werden pro m² für Fliesen in der Größe 90x90 cm 20 mm benötigt?,"4,94 Stk/m²",AI/Cache
Welche Formate haben Sie?,"Wir bieten mehrere verschiedene Standardformate in 20 mm Dicke an. Beispiele: 60x60, 80x80, 90x90, 60x120, 40x120, 100x100 und mehr. Kontaktieren Sie uns, wenn Sie die vollständige Liste sehen möchten.",AI/Cache
