question_da,answer_da,Källa FAQ / AI
Hvilket mønster er det nemmeste at lægge?,Det lige mønster er det hurtigste; sildebens- og modulære mønstre kræver mere skæring.,AI/Cache
Hvordan afslutter jeg mod kanter og grænser?,Brug kantstøtte eller kantliste for at sikre fliserne mod bevægelse.,AI/Cache
Hvor ofte bør du rengøre en terrasse med klinkerdäck®?,Regelmæssig fejning og aftørring efter behov. Grundig rengøring 1-2 gange pr. sæson.,AI/Cache
Hvordan fjerner jeg olieflekker?,"Dup med sugende papir, brug derefter et mildt affedtningsmiddel egnet til sten/fliser.",AI/Cache
Kan jeg bruge eddike eller syrer til rengøring?,"Undgå stærke syrer. Brug pH-neutrale eller mildt alkaliske midler, der er godkendt til fliser.",AI/Cache
Hvordan forhindrer jeg grønne belægninger?,"Hold overfladen ren og tør, og brug algefjerner efter behov i henhold til instruktionerne.",AI/Cache
Kan jeg skovle sne med en metalskovl?,Foretræk at bruge en plastskovl for at beskytte overfladen og fugerne.,AI/Cache
Hvordan rengør jeg fugerne uden at beskadige dem?,Børst forsigtigt og undgå højt tryk direkte på leddene.,AI/Cache
Skal jeg behandle fliserne efter vinteren?,En forårsrengøring med mild rengøring er normalt tilstrækkelig.,AI/Cache
Hvordan fjerner jeg rustpletter?,"Brug en rustfjerner, der er sikker for keramiske overflader, og følg instruktionerne nøje.",AI/Cache
Bliver fliserne meget varme i direkte sollys?,Overfladen kan blive varm i stærkt sollys. Brug møbelpuder og tæpper om nødvendigt.,AI/Cache
"Er overfladen skridsikker, når den er våd?","Fliserne har en skridsikker overflade, der er velegnet til udendørs brug, selv når de er våde.",AI/Cache
Er produktet sikkert omkring grillen og gnister?,"Keramiske fliser er ikke-brændbare, men undgå langvarig punktvarme.",AI/Cache
Kan kanterne opfattes som skarpe?,"Kanterne er bearbejdet, men vær forsigtig ved skæring og håndtering.",AI/Cache
Er der anbefalinger til belysning af trappetrin?,"Ja, markér niveauforskelle med belysning eller kontraststriber for øget sikkerhed.",AI/Cache
Er fliserne egnede til gående og kørestole?,"Ja, når det er lagt korrekt på en jævn overflade, giver området god tilgængelighed.",AI/Cache
Er skridsikkerhed påvirket af pollen og snavs?,"Ja, snavs kan reducere friktion. Hold overfladen ren for det bedste greb.",AI/Cache
Er der behov for beskyttelsesudstyr under skæring?,"Brug altid høreværn, øjenbeskyttelse, åndedrætsværn og handsker, når du skærer.",AI/Cache
Hvor modstandsdygtige er fliserne over for ridser fra møbelben?,Brug møbelpuder for at reducere risikoen for mærker. Overfladen er i sig selv ridsefast.,AI/Cache
Er fliserne modstandsdygtige over for cykelstativer og børnelegetøj?,"Ja, normal daglig brug er ikke et problem med den korrekte foundation.",AI/Cache
Hvordan ændrer farven sig over tid?,Farveoplevelsen kan variere med lys og snavs. Regelmæssig rengøring bevarer udseendet.,AI/Cache
Kan tallerkenerne modstå hurtige temperaturændringer?,"Keramik tåler generelt temperaturændringer godt, når de er korrekt installeret.",AI/Cache
Kan tunge gryder og grill placeres på fliserne?,"Ja, med det korrekte fundament og fordelt belastning.",AI/Cache
Hvordan påvirkes overfladen af vejsalt?,Undgå overdreven brug af salt. Sand anbefales til is.,AI/Cache
Hvad er den forventede tekniske levetid?,Med korrekt installation og vedligeholdelse kan fliserne holde i mange årtier.,AI/Cache
Kan fliserne revne?,Korrekt forarbejde reducerer risikoen for bevægelse og revner.,AI/Cache
Er klinkerdäck® genanvendelig?,"Ja, materialet kan genbruges som byggemateriale. Lokale regler gælder.",AI/Cache
Er der en Miljøvaredeklaration (EPD)?,Dokumentation kan leveres for projekter efter anmodning.,AI/Cache
Er fliserne egnede til tagterrasser?,"Ja, især med justerbare fødder og drænlag.",AI/Cache
Kan fliserne bruges i indendørs indgange?,"Ja, keramik er holdbart og let at rengøre, selv i indgange.",AI/Cache
Er produktet egnet til marine miljøer?,"Ja, men vælg det rigtige led og underlag til miljøet.",AI/Cache
Kan fliserne kombineres med træ og natursten?,"Ja, materialekryds fungerer godt æstetisk med god detaljeret planlægning.",AI/Cache
Er der anbefalinger til lydisolering?,"Brug måtter eller gummipuder, hvis støjreduktion er nødvendig.",AI/Cache
Er fliserne velegnede til udendørs spiseområder?,"Ja, holdbarhed og nem rengøring gør dem velegnede til kommercielle miljøer.",AI/Cache
Hvilke lande tilbyder I standardlevering til?,"Sverige, Danmark og Tyskland er standardleverancer.",AI/Cache
Kan I levere til andre EU-lande?,Potentielt – efter anmodning. Kontakt os for et tilbud og bekræftelse.,AI/Cache
Hvilke leveringsmetoder anvendes?,Hjemmelevering med besked. Indendørs levering er normalt ikke inkluderet.,AI/Cache
Kan jeg få aftenlevering?,I visse regioner kan planlagt levering tilbydes mod et ekstra gebyr.,AI/Cache
Hvad er den normale leveringstid?,Normalt 5–10 hverdage afhængigt af lager og adresse.,AI/Cache
Hvordan leveres varerne – på en palle?,"Ja, varer leveres normalt på paller, der aflæsses med en lift eller gaffeltruck.",AI/Cache
Hvordan beregnes prisen pr. m²?,"Prisen påvirkes af model, volumen og leveringsadresse. Anmod om et tilbud for en præcis pris.",AI/Cache
Tilbyder I mængderabatter?,"Ja, større projekter kan modtage en mængderabat efter et tilbud.",AI/Cache
Hvilke betalingsmetoder accepterer I?,"Kort, Swish og faktura kan tilbydes afhængigt af kundetypen.",AI/Cache
Er det muligt at betale i rater?,Afbetalingsbetaling kan tilbydes gennem en betalingspartner efter en kreditvurdering.,AI/Cache
Er fragt inkluderet i prisen?,"Forsendelse oplyses separat, medmindre andet er angivet.",AI/Cache
Har I en prisgaranti?,"Nej, men vi giver konkurrencedygtige tilbud baseret på projektets omfang.",AI/Cache
Koster prøvetagning af fliser noget?,Prøvefliser kan tilbydes til kostpris eller i forbindelse med et tilbud.,AI/Cache
Hvor længe er et tilbud gyldigt?,"Gyldighedsperioden for tilbuddet er angivet i tilbuddet, normalt 14–30 dage.",AI/Cache
Kan jeg annullere købet?,Fortrydelsesretten gælder ifølge loven for fjernsalg. Visse undtagelser kan forekomme.,AI/Cache
Hvordan returnerer jeg overskydende fliser?,"Kontakt kundeservice. Returneringer accepteres, hvis fliserne er ubeskadigede i deres originale emballage.",AI/Cache
Hvem er ansvarlig for returforsendelsen?,"Returforsendelse betales normalt af kunden, medmindre varen er defekt.",AI/Cache
Hvor hurtigt skal en transportskade rapporteres?,Rapporter skader straks ved modtagelse og dokumenter med fotos.,AI/Cache
Hvordan håndteres produktionsfejl?,Vi undersøger sagen og tilbyder kompensation eller erstatning i henhold til garantien.,AI/Cache
Kan specialbestilte varer returneres?,Særlige ordrer er generelt ikke omfattet af fortrydelsesretten.,AI/Cache
Hvor lang tid tager en refundering?,"Refunderinger behandles typisk inden for 5–10 arbejdsdage efter, at returneringen er godkendt.",AI/Cache
Kan jeg ændre farven efter levering?,"Ombytninger håndteres som en returnering og en ny ordre, hvis varen er ubeskadiget.",AI/Cache
Hvordan kontakter jeg jer for rådgivning?,"Send en e-mail eller ring til kundeservice, og vi vil hjælpe dig med valget af fliser og underlag.",AI/Cache
Kan du beregne materialeforbruget?,"Ja, vi kan hjælpe med grove beregninger baseret på målinger og forhold.",AI/Cache
Tilbyder I designstøtte?,For større projekter kan dokumentation såsom datablad og generelle principdetaljer leveres.,AI/Cache
Hvad er den typiske svartid fra kundeservice?,Vi bestræber os på at svare inden for 24 timer på hverdage.,AI/Cache
Kan du anbefale installatører?,Vi kan henvise til partnere i visse regioner.,AI/Cache
"Hvilke dokumenter er gode at have, når jeg anmoder om et tilbud?","En dimensioneret skitse, ønsket farve og omtrentlig leveringsadresse er nyttige.",AI/Cache
Er der support efter levering?,"Ja, vi er glade for at hjælpe med spørgsmål om vedligeholdelse og kosttilskud.",AI/Cache
Kan vi planlægge et videomøde?,"Ja, hvis det er nødvendigt, kan konsultationer gennemføres digitalt.",AI/Cache
Har I eksempler på billeder af terrasser med klinkerdäck®?,"Ja, inspirationsbilleder er tilgængelige på vores hjemmeside og kan sendes efter anmodning.",AI/Cache
Kan jeg få hjælp til at vælge et mønster?,Vi kan give anbefalinger om lægningsmønstre baseret på stil og overflade.,AI/Cache
Matcher fliserne med trædetaljer og stål?,"Ja, materialet kombineres ofte med træ, stål og glas i moderne design.",AI/Cache
"Kan jeg prøve at lægge nogle fliser, før jeg køber dem?","Ja, bestil prøvfliser og test på et mindre område først.",AI/Cache
Kan jeg bruge møbelpuder på fliserne?,"Ja, vi anbefaler møbelpuder for at beskytte overfladen og reducere støj.",AI/Cache
Hvor ofte skal fugerne genopfyldes?,Inspicer årligt og genopfyld efter behov for at opretholde stabilitet.,AI/Cache
Hvilke størrelser er tilgængelige i 20 mm tykkelse?,100x100 cm 20 mm,AI/Cache
Hvor mange fødder er nødvendige pr. m² for fliser i størrelsen 100x100 cm 20 mm?,4 stk/m²,AI/Cache
Hvor mange fødder er der brug for pr. m² til fliser i størrelsen 80x80 cm 20 mm?,"6,25 stk/m²",AI/Cache
Hvor mange fliser er der brug for pr. m² til fliser i størrelsen 60x60 cm 20 mm?,"2,78 stk/m²",AI/Cache
Hvor mange fødder er nødvendige pr. m² for fliser i størrelse 60x120 cm 20 mm?,"2,78 stk/m²",AI/Cache
Hvor mange fødder er nødvendige pr. m² for fliser i størrelsen 40x120 cm 20 mm?,"4,17 stk/m²",AI/Cache
Hvor mange fødder er der brug for pr. m² til fliser i størrelse 80.0x80.0 cm 20 mm?,"6,25 stk/m²",AI/Cache
Hvor mange fødder er der brug for pr. m² for fliser i størrelsen 60.4x60.4 cm 20 mm?,"10,96 stk/m²",AI/Cache
Hvor mange fliser er der brug for pr. m² til fliser i størrelsen 120.8x120.8 cm 20 mm?,"2,74 stk/m²",AI/Cache
Hvor mange fliser er der brug for pr. m² for fliser i størrelsen 60.4x120.8 cm 20 mm?,"5,48 stk/m²",AI/Cache
Hvor mange fødder er nødvendige pr. m² for fliser i størrelsen 90x90 cm 20 mm?,"4,94 stk/m²",AI/Cache
Hvilke formater har I?,"Vi tilbyder flere forskellige standardformater i 20 mm tykkelse. Eksempler: 60x60, 80x80, 90x90, 60x120, 40x120, 100x100 og flere. Kontakt os, hvis du ønsker at se den fulde liste.",AI/Cache
"Jeg leder efter en flise, der er omkring 60x60 – hvilke formater er tættest på?","Det nærmeste format til 60x60 cm er 60x60, 60x120 eller 90x90 cm afhængigt af de ønskede proportioner.",AI/Cache
"Jeg leder efter en flise, der er omkring 80x80 – hvilke formater er de tætteste?","Det nærmeste format til 80x80 cm er 80x80, 90x90 eller 100x100 cm.",AI/Cache
Hvilke størrelser har I i 20 mm?,"Standardsstørrelser inkluderer 60x60, 80x80, 90x90, 60x120, 40x120, 100x100 cm. Vil du gerne se flere formater?",AI/Cache
Har I forslag til læggemønstre for 20 mm fliser?,"Almindelige mønstre er lige forbandt (gitter), halvforbandt, sildeben, modulært mønster og diagonal lægning.",AI/Cache
Jeg har 35 m² af 60x60 cm – hvor mange fødder har jeg brug for?,"Beregning: 60x60 cm kræver cirka 2,78 fliser/m². For 35 m² svarer det til omkring 97 fliser.",AI/Cache
Hvordan beregner jeg antallet af fliser pr. m² for en specifik flisestørrelse?,"Regel: ≤60 cm → ca. 2,78 feet/m², 80 cm → ca. 6,25 feet/m², 90 cm → ca. 4,94 feet/m², 100 cm → ca. 4,0 feet/m². Længere formater (60x120 cm, 40x120 cm) → ca. 2,78–4,17 feet/m².",AI/Cache
Hvilke højder af fødder har I?,"Vi tilbyder fødder med følgende højder: 28-38, 37.5-50, 50-75, 75-120, 120-170, 170-215, 140-230, 185-275, 235-325, 205-345, 250-385, 300-400, 270-455, 315-500, 365-550, 25-",AI/Cache
"Jeg har en specifik højde, f.eks. 40 mm eller 355 mm, hvilken fod skal jeg vælge?","Tjek din højde og vælg den fod, hvis justerbare område dækker denne måling. Eksempel: 40 mm → 35–50 mm, 355 mm → 330–550 mm.",AI/Cache
Hvilket tilbehør bruges: Adjustment Key?,Nøgle til præcis højdejustering af SE-sokler.,AI/Cache
Hvilket tilbehør bruges: Slope Corrector 0-5%?,Tilbehør til at korrigere substrathældninger op til 5% for SE piedestaler.,AI/Cache
Hvilket tilbehør bruges: Spacer Tabs 2/3/4 mm?,Aftagelige afstandsstykker til at kontrollere fugebredden.,AI/Cache
Hvilket tilbehør bruges: Pocket Key?,Nøgle til justering af topadgang for MiniPro og BalancePro piedestaler.,AI/Cache
Hvilket tilbehør bruges: Twist Lock Ring?,Rotationslåsring for piedestalstabilitet.,AI/Cache
Hvilket tilbehør bruges: Fix Ring?,Ringtilbehør til at fastgøre og stabilisere BalancePro piedestaler.,AI/Cache
Hvilket tilbehør bruges: Dome Extension 25 mm?,25 mm forlængelseselement til MiniPro og BalancePro sokler.,AI/Cache
Hvilket tilbehør bruges: Prolunga PBP10 100 mm?,100 mm forlængelse til BalancePro 125–225 mm piedestal.,AI/Cache
Hvilke farver er tilgængelige i Uteklinker-serien?,"Følgende farver er tilgængelige i Uteklinker-serien: Lava Marsili, Albero Gelso, Albero Mandorlo",AI/Cache
Hvilke farver er tilgængelige i Träklinker-serien?,"Følgende farver er tilgængelige i Träklinker:
  - Konjak",AI/Cache
Hvilke formater er tilgængelige i Lava-serien?,"Følgende formater er tilgængelige i Lava:
 - Etna – format: 40x120, 60x60, 80x80
 - Marsili – format: 40x120, 60x60, 80x80
 - Salina – format: 40x120, 60x60, 80x80
 - Vesuvio – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Albero-serien?,"Følgende formater er tilgængelige i Albero:
 - Gelso – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Mandorlo – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Nocciolo – format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
